typ,nyckel,namn
kommunvk,01801926,2 Bromma-Kungsholmen
kommunvk,01802101,5 Västra Söderort
kommunvk,01802102,5 Västra Söderort
kommunvk,01802103,5 Västra Söderort
kommunvk,01802104,5 Västra Söderort
kommunvk,01802105,5 Västra Söderort
kommunvk,01802106,5 Västra Söderort
kommunvk,01802107,5 Västra Söderort
kommunvk,01802108,5 Västra Söderort
kommunvk,01802109,5 Västra Söderort
kommunvk,01802110,5 Västra Söderort
kommunvk,01802111,5 Västra Söderort
kommunvk,01802112,5 Västra Söderort
kommunvk,01802113,5 Västra Söderort
kommunvk,01802114,5 Västra Söderort
kommunvk,01802115,5 Västra Söderort
kommunvk,01802116,5 Västra Söderort
kommunvk,01802117,5 Västra Söderort
kommunvk,01802118,5 Västra Söderort
kommunvk,01802119,5 Västra Söderort
kommunvk,01802120,5 Västra Söderort
kommunvk,01802121,5 Västra Söderort
kommunvk,01802122,5 Västra Söderort
kommunvk,01802123,5 Västra Söderort
kommunvk,01802124,5 Västra Söderort
kommunvk,01802125,5 Västra Söderort
kommunvk,01802126,5 Västra Söderort
kommunvk,01802127,5 Västra Söderort
kommunvk,01802128,5 Västra Söderort
kommunvk,01802129,5 Västra Söderort
kommunvk,01802130,5 Västra Söderort
kommunvk,01802131,5 Västra Söderort
kommunvk,01802301,4 Östra Söderort
kommunvk,01802302,4 Östra Söderort
kommunvk,01802303,4 Östra Söderort
kommunvk,01802304,4 Östra Söderort
kommunvk,01802305,4 Östra Söderort
kommunvk,01802306,4 Östra Söderort
kommunvk,01802307,4 Östra Söderort
kommunvk,01802308,4 Östra Söderort
kommunvk,01802309,4 Östra Söderort
kommunvk,01802310,4 Östra Söderort
kommunvk,01802311,4 Östra Söderort
kommunvk,01802312,4 Östra Söderort
kommunvk,01802313,4 Östra Söderort
kommunvk,01802314,4 Östra Söderort
kommunvk,01802315,4 Östra Söderort
kommunvk,01802316,4 Östra Söderort
kommunvk,01802317,4 Östra Söderort
kommunvk,01802318,4 Östra Söderort
kommunvk,01802319,4 Östra Söderort
kommunvk,01802320,4 Östra Söderort
kommunvk,01802321,4 Östra Söderort
kommunvk,01802322,4 Östra Söderort
kommunvk,01802323,4 Östra Söderort
kommunvk,01802324,4 Östra Söderort
kommunvk,01802325,4 Östra Söderort
kommunvk,01802326,4 Östra Söderort
kommunvk,01802327,4 Östra Söderort
kommunvk,01802328,4 Östra Söderort
kommunvk,01802329,4 Östra Söderort
kommunvk,01802330,4 Östra Söderort
kommunvk,01802331,4 Östra Söderort
kommunvk,01802332,4 Östra Söderort
kommunvk,01802501,4 Östra Söderort
kommunvk,01802502,4 Östra Söderort
kommunvk,01802503,4 Östra Söderort
kommunvk,01802504,4 Östra Söderort
kommunvk,01802505,4 Östra Söderort
kommunvk,01802506,4 Östra Söderort
kommunvk,01802507,4 Östra Söderort
kommunvk,01802508,4 Östra Söderort
kommunvk,01802509,4 Östra Söderort
kommunvk,01802510,4 Östra Söderort
kommunvk,01802511,4 Östra Söderort
kommunvk,01802512,4 Östra Söderort
kommunvk,01802513,4 Östra Söderort
