niva,kod,namn,val,parti,andel
kommun,0482,,KF,M,17.08
kommun,0482,,KF,MP,3.3
kommun,0482,,KF,S,29.51
kommun,0482,,KF,SD,21.52
kommun,0482,,KF,V,9.08
kommun,0483,,KF,C,6.55
kommun,0483,,KF,KD,7.35
kommun,0483,,KF,L,3.98
kommun,0483,,KF,M,16.9
kommun,0483,,KF,MP,3.19
kommun,0483,,KF,S,39.89
kommun,0483,,KF,SD,15.87
kommun,0483,,KF,V,5.65
kommun,0484,,KF,C,5.25
kommun,0484,,KF,KD,3.82
kommun,0484,,KF,L,3.71
kommun,0484,,KF,M,17.18
kommun,0484,,KF,MP,2.81
kommun,0484,,KF,S,36.36
kommun,0484,,KF,SD,22.0
kommun,0484,,KF,V,7.38
kommun,0486,,KF,C,5.83
kommun,0486,,KF,KD,4.55
kommun,0486,,KF,L,3.38
kommun,0486,,KF,M,31.05
kommun,0486,,KF,MP,2.25
kommun,0486,,KF,S,24.76
kommun,0486,,KF,SD,16.62
kommun,0486,,KF,Strängnäspartiet,5.01
kommun,0486,,KF,V,5.89
kommun,0488,,KF,C,5.15
kommun,0488,,KF,KD,4.03
kommun,0488,,KF,L,3.32
kommun,0488,,KF,M,43.27
kommun,0488,,KF,MP,3.88
kommun,0488,,KF,S,23.36
kommun,0488,,KF,SD,12.51
kommun,0488,,KF,V,4.29
kommun,0509,,KF,C,7.95
kommun,0509,,KF,Folk & Natur,1.67
kommun,0509,,KF,KD,27.82
kommun,0509,,KF,M,21.77
kommun,0509,,KF,MP,3.78
kommun,0509,,KF,S,19.36
kommun,0509,,KF,SD,15.24
kommun,0512,,KF,C,30.47
kommun,0512,,KF,KD,4.99
kommun,0512,,KF,M,26.8
kommun,0512,,KF,S,22.86
kommun,0512,,KF,SD,9.56
kommun,0512,,KF,V,4.02
kommun,0513,,KF,C,8.96
kommun,0513,,KF,KD,6.86
kommun,0513,,KF,L,2.76
kommun,0513,,KF,Landsbygdspartiet Oberoende,8.36
kommun,0513,,KF,M,20.14
kommun,0513,,KF,MP,2.88
kommun,0513,,KF,S,25.33
kommun,0513,,KF,SD,16.75
kommun,0513,,KF,V,7.83
kommun,0560,,KF,C,11.23
kommun,0560,,KF,KD,5.58
kommun,0560,,KF,M,20.49
kommun,0560,,KF,S,39.59
kommun,0560,,KF,SD,18.43
kommun,0560,,KF,V,2.41
kommun,0561,,KF,C,8.39
kommun,0561,,KF,KD,4.34
kommun,0561,,KF,L,2.68
kommun,0561,,KF,M,20.98
kommun,0561,,KF,MP,2.64
kommun,0561,,KF,S,33.82
kommun,0561,,KF,SD,22.76
kommun,0561,,KF,V,4.18
kommun,0562,,KF,C,6.54
kommun,0562,,KF,KD,5.42
kommun,0562,,KF,L,6.1
kommun,0562,,KF,M,15.53
kommun,0562,,KF,MP,1.16
kommun,0562,,KF,S,34.12
kommun,0562,,KF,SD,22.02
kommun,0562,,KF,V,8.42
kommun,0563,,KF,C,11.43
kommun,0563,,KF,KD,5.02
kommun,0563,,KF,L,1.08
kommun,0563,,KF,Landsbygdspartiet Oberoende,13.07
kommun,0563,,KF,M,20.64
kommun,0563,,KF,S,27.42
kommun,0563,,KF,SD,15.41
kommun,0563,,KF,V,4.95
kommun,0580,,KF,C,6.97
kommun,0580,,KF,KD,5.13
kommun,0580,,KF,L,5.12
kommun,0580,,KF,Linköpingslistan,9.0
kommun,0580,,KF,M,20.22
kommun,0580,,KF,MP,5.84
kommun,0580,,KF,S,28.26
kommun,0580,,KF,SD,12.03
kommun,0580,,KF,V,6.73
kommun,0581,,KF,C,4.84
kommun,0581,,KF,KD,5.86
kommun,0581,,KF,L,4.06
kommun,0581,,KF,M,24.41
kommun,0581,,KF,MP,3.29
kommun,0581,,KF,S,29.09
kommun,0581,,KF,SD,16.56
kommun,0581,,KF,V,8.98
kommun,0582,,KF,C,10.88
kommun,0582,,KF,KD,7.06
kommun,0582,,KF,L,4.65
kommun,0582,,KF,Landsbygdspartiet Oberoende,1.52
kommun,0582,,KF,M,22.61
kommun,0582,,KF,MP,2.93
kommun,0582,,KF,S,19.78
kommun,0582,,KF,SD,19.98
kommun,0582,,KF,Söderköpingsinitiativet,4.24
kommun,0582,,KF,V,6.02
kommun,0583,,KF,C,5.38
kommun,0583,,KF,KD,5.25
kommun,0583,,KF,L,3.68
kommun,0583,,KF,M,25.82
kommun,0583,,KF,MP,2.04
kommun,0583,,KF,S,34.95
kommun,0583,,KF,SD,16.44
kommun,0583,,KF,V,5.85
kommun,0584,,KF,C,4.11
kommun,0584,,KF,KD,2.7
kommun,0584,,KF,Konsensus - För Vadstenas Bästa,22.85
kommun,0584,,KF,M,30.27
kommun,0584,,KF,MP,3.76
kommun,0584,,KF,S,22.06
kommun,0584,,KF,SD,7.98
kommun,0584,,KF,V,5.37
kommun,0586,,KF,C,6.54
kommun,0586,,KF,KD,5.87
