kommunkod,syssgrad,arbloshet,arbloshet_ung,langtidsarbl,medianink,lag_ekstand,ekbistand,gini,hyresratt,trangbodd,brott,tathet,tatortsgrad,utrikesfodda,medelalder,ensamhushall,valdeltagande
1814,88.2,2.282661,3.567582,1.899728,376400.0,12.0,2.46688,0.265,24.164456,10.014306,6981.969,18.57577786,56.0,7.332115,40.9,40.329,90.0
1860,79.2,5.468419,5.022831,3.809761,349900.0,20.0,2.994978,0.287,36.029649,25.961538,11507.4386,9.27365763,73.0,18.328551,47.2,50.482315,86.0
1861,82.9,3.974393,3.980447,3.256904,357200.0,18.0,2.228361,0.28,36.07823,21.378092,10416.79492,25.43581368,79.0,16.740331,42.6,46.450412,86.0
1862,77.2,6.660015,5.601093,4.153934,350700.0,20.0,6.642183,0.258,30.866891,13.669065,10952.58078,24.832005,80.0,15.750262,46.7,50.010489,86.0
1863,75.6,6.693938,4.788839,4.592623,329000.0,27.0,6.580529,0.287,31.280598,21.647625,9418.7338,6.95365247,76.0,19.876803,46.6,55.667434,83.0
1864,74.0,6.437292,6.27763,3.58637,320400.0,25.0,5.667478,0.289,31.371141,16.075949,10612.87139,7.99958299,72.0,17.688731,49.4,55.681818,82.0
1880,80.0,5.517481,3.733616,4.34702,351900.0,18.0,3.432939,0.297,57.1942,13.059865,14204.3651,114.33617619,90.0,19.546746,40.1,52.438355,85.0
1881,84.3,3.842523,4.063038,2.868443,366500.0,14.0,2.691401,0.257,42.193435,13.887647,12446.4962,108.70888562,88.0,13.919658,41.0,44.922924,88.0
1882,84.6,3.35438,3.106362,2.267492,374500.0,14.0,2.096199,0.281,33.344257,15.620943,8171.5948,14.12251595,63.0,9.219796,46.9,46.982228,87.0
1883,81.8,4.57927,3.568627,3.353741,367200.0,17.0,4.138318,0.271,27.460748,14.768699,10597.05179,65.00298992,92.0,16.619328,44.4,50.808007,85.0
1884,82.9,4.472774,4.764553,3.391035,367700.0,17.0,3.130549,0.31,38.491989,16.710526,5788.44178,17.33135033,76.0,13.606205,45.6,47.911405,87.0
1885,81.0,5.003842,4.471545,3.52381,358200.0,19.0,3.831875,0.28,35.493262,19.982047,9180.20239,17.13308796,73.0,15.161084,44.6,48.227454,85.0
1904,78.0,5.260274,5.189094,3.476962,345800.0,18.0,3.657428,0.295,30.581537,18.569464,11330.21771,6.62875341,58.0,17.741935,47.4,50.835214,84.0
1907,82.7,4.771416,5.334115,3.636637,364700.0,14.0,2.302402,0.238,25.482234,12.842893,8066.75938,29.36524091,89.0,19.326223,44.1,45.368579,84.0
1960,80.5,6.340718,5.376671,4.709255,357100.0,19.0,5.033097,0.316,38.30773,22.59519,6017.43689,43.3690341,79.0,18.694362,43.6,44.008006,86.0
1961,82.8,5.006519,5.424837,3.92709,357000.0,17.0,2.351744,0.261,40.913126,17.899382,8547.6755,97.97074092,88.0,19.717551,43.1,48.14105,84.0
1962,79.3,6.05428,5.16118,4.336043,355400.0,20.0,5.757953,0.267,34.343112,11.767926,10880.8747,13.67541823,79.0,14.359339,46.0,51.39823,84.0
1980,80.7,6.312813,4.887954,4.667839,368200.0,15.0,3.49757,0.307,38.823011,15.707663,12868.82985,163.65248967,94.0,24.27436,41.1,48.767816,84.0
1981,82.8,4.994737,5.523114,3.966646,348600.0,17.0,2.471607,0.271,37.918714,18.843716,12440.46195,19.70913641,70.0,14.542448,44.2,47.436723,87.0
1982,76.9,8.921552,6.607291,5.820555,354000.0,22.0,6.24391,0.267,24.703054,16.79803,9002.25056,49.50933016,89.0,27.411738,43.3,52.942083,82.0
1983,80.8,6.513507,5.321766,4.678104,356100.0,19.0,3.598775,0.281,41.607103,18.654012,10655.84751,43.24364575,83.0,21.680704,43.8,50.230965,83.0
1984,81.4,5.143219,4.430221,3.915956,352200.0,18.0,3.628488,0.269,45.307023,12.868789,8643.50849,43.32462744,82.0,15.074913,45.2,48.91115,85.0
2021,85.4,2.848,2.246604,2.100505,343800.0,18.0,2.852941,0.267,27.540707,17.524752,6275.78078,4.39991429,71.0,9.911765,45.8,51.806527,84.0
2023,86.4,2.490737,2.475915,1.883709,359000.0,15.0,2.563853,0.292,30.301385,14.629795,10080.09376,2.50134027,72.0,12.419575,46.3,49.667058,87.0
2026,86.7,2.317099,2.251709,1.619098,365300.0,12.0,1.6954,0.252,16.898992,11.374408,4361.69706,13.68820302,76.0,7.238785,44.0,40.730397,89.0
2029,85.9,2.251995,2.465226,1.882821,362700.0,13.0,2.147334,0.334,30.554535,12.136106,5540.85603,13.11201553,81.0,9.321666,46.8,45.400866,88.0
2031,85.0,2.547634,2.117864,1.874128,353400.0,14.0,2.66859,0.285,26.971448,11.204482,6487.94773,5.78046419,80.0,7.762351,49.0,50.258421,86.0
2034,83.0,4.363057,3.748694,2.909539,336300.0,19.0,3.446784,0.273,32.371625,16.710354,7998.84493,3.99715727,88.0,12.186328,46.6,51.735016,86.0
2039,84.8,3.730635,3.36329,2.425113,344900.0,18.0,2.408093,0.259,23.529412,16.865417,10341.39402,1.02483948,68.0,9.618125,46.9,51.382824,86.0
2061,83.4,3.858385,4.737374,2.672742,372600.0,15.0,2.755906,0.288,27.086384,15.831135,6570.57881,11.53294373,69.0,10.309467,46.9,45.734553,87.0
2062,85.7,2.702121,3.809255,2.012028,361400.0,13.0,2.562987,0.271,30.481084,9.550173,7303.68328,7.34941173,87.0,9.110692,45.9,49.171545,86.0
2080,85.5,3.254406,3.089031,2.415353,371900.0,13.0,2.825237,0.283,41.161412,12.920765,7626.92741,29.32927487,87.0,10.732555,42.7,48.560237,88.0
2081,79.3,6.487401,4.379518,4.532456,351800.0,21.0,6.841964,0.282,37.840643,23.623113,11990.5776,89.49594944,91.0,18.266319,41.4,51.644509,84.0
2082,86.6,2.639874,2.619048,1.911965,369700.0,12.0,2.209209,0.284,31.352834,14.080338,6085.37289,19.71208641,66.0,8.384349,45.0,45.659951,88.0
2083,81.0,5.326912,4.772448,3.720307,347200.0,19.0,4.506896,0.291,32.515115,16.63739,9358.92042,18.50105324,71.0,14.498478,45.3,50.968333,84.0
2084,80.5,6.839024,4.624827,4.737043,358100.0,19.0,4.687773,0.271,31.543141,18.055899,9089.12488,37.38767389,82.0,17.23356,44.7,51.600704,85.0
2085,79.4,6.621725,5.447861,4.920867,358900.0,20.0,6.454673,0.273,36.708157,20.34188,8261.11636,17.77916449,87.0,18.331879,44.0,52.856384,85.0
2101,80.0,6.736167,5.294556,4.087553,344700.0,20.0,4.483766,0.28,35.001574,31.323722,6623.30994,5.50869745,59.0,12.935922,47.4,50.067705,85.0
2104,81.1,6.570363,6.939466,4.476687,365900.0,17.0,4.286318,0.253,30.376503,13.362239,8871.39107,23.36610475,78.0,14.537584,45.6,50.169635,83.0
2121,84.6,4.180504,5.76403,3.511572,349900.0,18.0,3.923593,0.294,37.141911,16.740088,5125.78751,6.25146798,66.0,8.879711,45.8,48.67381,85.0
2132,81.7,4.437362,4.277848,3.305879,340100.0,18.0,3.098978,0.282,28.271372,17.876659,7708.12463,6.91940499,52.0,9.159903,45.4,48.00529,83.0
2161,83.2,5.035452,5.348332,3.940373,343500.0,18.0,2.312077,0.28,33.606476,14.965517,7627.41184,3.57735332,61.0,9.956848,46.1,50.016243,83.0
2180,80.7,6.927348,5.816164,5.197194,365500.0,17.0,4.710464,0.294,46.433827,13.933955,11631.47476,63.93929437,94.0,16.400143,42.1,52.169516,85.0
2181,79.2,8.947136,6.457778,6.248221,361200.0,19.0,4.550105,0.273,35.799068,17.811649,9422.06565,33.67422228,86.0,18.315515,44.0,49.700186,84.0
